place	type	shape	syllables	CVC	size	citation	possessive	back	high	round
COR	voiceless	CVCC	mono	big	CVCC	kant	kantɯm	1	0	0
COR	voiceless	CVCC	mono	big	CVCC	kent	kentim	0	0	0
COR	voiceless	CVCC	mono	big	CVCC	sent	sentim	0	0	0
COR	voiceless	CVCC	mono	big	CVCC	kont	kontum	1	0	1
COR	voiceless	CVCC	mono	big	CVCC	kunt	kuntum	1	1	1
COR	voiceless	CVCC	mono	big	CVCC	punt	puntum	1	1	1
COR	voiceless	VCC	mono	big	CVCC	ant	antɯm	1	0	0
COR	alternating	CVCC	mono	big	CVCC	hamt	hamdɯm	1	0	0
COR	voiced	CVCC	mono	big	CVCC	hamd	hamdɯm	1	0	0
COR	voiceless	CVCC	mono	big	CVCC	semt	semtim	0	0	0
COR	alternating	CVCC	mono	big	CVCC	ʤilt	ʤildim	0	1	0
COR	voiceless	CVCC	mono	big	CVCC	halt	haltɯm	1	0	0
COR	voiceless	CVCC	mono	big	CVCC	malt	maltɯm	1	0	0
COR	voiceless	CVCC	mono	big	CVCC	salt	saltɯm	1	0	0
COR	voiceless	CVCC	mono	big	CVCC	ʃilt	ʃiltim	0	1	0
COR	voiceless	CVCC	mono	big	CVCC	volt	voltum	1	0	1
COR	voiceless	CVCC	mono	big	CVCC	kylt	kyltym	0	1	1
COR	voiceless	CVCCCCVC	poly	big	CVCVC	sanskrit	sanskritim	0	1	0
COR	voiceless	CVCCCVC	poly	big	CVCVC	kontrat	kontratɯm	1	0	0
COR	voiceless	CVCCCVCC	poly	big	CVCVC	zɯrtzɯrt	zɯrtzɯrtɯm	1	1	0
COR	voiceless	CVCCCVCC	poly	big	CVCVC	hortzort	hortzortum	1	0	1
COR	voiceless	CVCCCVCC	poly	big	CVCVC	zartzurt	zartzurtum	1	1	1
COR	voiceless	CVCCCVCCVCC	poly	big	CVCVC	postrestant	postrestantɯm	1	0	0
COR	alternating	CVCCVC	poly	big	CVCVC	ferjat	ferja:dɯm	1	0	0
COR	alternating	CVCCVC	poly	big	CVCVC	maksat	maksadɯm	1	0	0
COR	alternating	CVCCVC	poly	big	CVCVC	nevzat	nevzadɯm	1	0	0
COR	alternating	CVCCVC	poly	big	CVCVC	ʤelʲlʲat	ʤelʲlʲadɯm	1	0	0
COR	alternating	CVCCVC	poly	big	CVCVC	mesnet	mesnedim	0	0	0
COR	alternating	CVCCVC	poly	big	CVCVC	mysnet	mysnedim	0	0	0
COR	alternating	CVCCVC	poly	big	CVCVC	vahdet	vahdedim	0	0	0
COR	alternating	CVCCVC	poly	big	CVCVC	linjit	linjidim	0	1	0
COR	alternating	CVCCVC	poly	big	CVCVC	mesʤit	mesʤidim	0	1	0
COR	alternating	CVCCVC	poly	big	CVCVC	myfsit	myfsidim	0	1	0
COR	alternating	CVCCVC	poly	big	CVCVC	tahʃit	tahʃidim	0	1	0
COR	alternating	CVCCVC	poly	big	CVCVC	taklit	taklidim	0	1	0
COR	alternating	CVCCVC	poly	big	CVCVC	taksit	taksidim	0	1	0
COR	alternating	CVCCVC	poly	big	CVCVC	takjit	takjidim	0	1	0
COR	alternating	CVCCVC	poly	big	CVCVC	tehdit	tehdidim	0	1	0
COR	alternating	CVCCVC	poly	big	CVCVC	teʒdit	teʒdidim	0	1	0
COR	alternating	CVCCVC	poly	big	CVCVC	temdit	temdidim	0	1	0
COR	alternating	CVCCVC	poly	big	CVCVC	tenkit	tenkidim	0	1	0
COR	alternating	CVCCVC	poly	big	CVCVC	teʃdit	teʃdidim	0	1	0
COR	alternating	CVCCVC	poly	big	CVCVC	tevlit	tevlidim	0	1	0
COR	alternating	CVCCVC	poly	big	CVCVC	tezjit	tezjidim	0	1	0
COR	alternating	CVCCVC	poly	big	CVCVC	maksut	maksudum	1	1	1
COR	alternating	CVCCVC	poly	big	CVCVC	mevlʲut	mevlʲudum	1	1	1
COR	alternating	CVCCVC	poly	big	CVCVC	zymryt	zymrydym	0	1	1
COR	vacillator	CVCCVC	poly	big	CVCVC	sejjat	sejjatɯm sejja:dɯm	1	0	0
COR	vacillator	CVCCVC	poly	big	CVCVC	ziljet	ziljetim ziljedim	0	0	0
COR	vacillator	CVCCVC	poly	big	CVCVC	mevlit	mevlitim mevlidim	0	1	0
COR	vacillator	CVCCVC	poly	big	CVCVC	nevmit	nevmitim nevmidim	0	1	0
COR	vacillator	CVCCVC	poly	big	CVCVC	teʤrit	teʤritim teʤridim	0	1	0
COR	vacillator	CVCCVC	poly	big	CVCVC	temʤit	temʤitim temʤidim	0	1	0
COR	vacillator	CVCCVC	poly	big	CVCVC	tevhit	tevhitim tevhidim	0	1	0
COR	vacillator	CVCCVC	poly	big	CVCVC	hajdut	hajdutum hajdudum	1	1	1
COR	vacillator	CVCCVC	poly	big	CVCVC	mahdut	mahdutum mahdudum	1	1	1
COR	vacillator	CVCCVC	poly	big	CVCVC	nemrut	nemrutum nemrudum	1	1	1
COR	voiced	CVCCVC	poly	big	CVCVC	myrʃid	myrʃidim	0	1	0
COR	voiced	CVCCVC	poly	big	CVCVC	tahdid	tahdidim	0	1	0
COR	voiceless	CVCCVC	poly	big	CVCVC	berbat	berbatɯm	1	0	0
COR	voiceless	CVCCVC	poly	big	CVCVC	bizzat	bizzatɯm	1	0	0
COR	voiceless	CVCCVC	poly	big	CVCVC	dikkat	dikkatim	1	0	0
COR	voiceless	CVCCVC	poly	big	CVCVC	dimjat	dimjatɯm	1	0	0
COR	voiceless	CVCCVC	poly	big	CVCVC	fɯrsat	fɯrsatɯm	1	0	0
COR	voiceless	CVCCVC	poly	big	CVCVC	fɯtrat	fɯtratɯm	1	0	0
COR	voiceless	CVCCVC	poly	big	CVCVC	fosfat	fosfatɯm	1	0	0
COR	voiceless	CVCCVC	poly	big	CVCVC	hattat	hattatɯm	1	0	0
COR	voiceless	CVCCVC	poly	big	CVCVC	hejhat	hejhatɯm	1	0	0
COR	voiceless	CVCCVC	poly	big	CVCVC	hɯrvat	hɯrvatɯm	1	0	0
COR	voiceless	CVCCVC	poly	big	CVCVC	hilkat	hilkatɯm	1	0	0
COR	voiceless	CVCCVC	poly	big	CVCVC	hojrat	hojratɯm	1	0	0
COR	voiceless	CVCCVC	poly	big	CVCVC	kantat	kantatɯm	1	0	0
COR	voiceless	CVCCVC	poly	big	CVCVC	rikkat	rikkatim	1	0	0
COR	voiceless	CVCCVC	poly	big	CVCVC	ruhsat	ruhsatɯm	1	0	0
COR	voiceless	CVCCVC	poly	big	CVCVC	ʃefkat	ʃefkatim	1	0	0
COR	voiceless	CVCCVC	poly	big	CVCVC	serhat	serhatim	1	0	0
COR	voiceless	CVCCVC	poly	big	CVCVC	sirkat	sirkatim	1	0	0
COR	voiceless	CVCCVC	poly	big	CVCVC	tevrat	tevratɯm	1	0	0
COR	voiceless	CVCCVC	poly	big	CVCVC	vuslat	vuslatɯm	1	0	0
COR	voiceless	CVCCVC	poly	big	CVCVC	banket	banketim	0	0	0
COR	voiceless	CVCCVC	poly	big	CVCVC	ʧiklet	ʧikletim	0	0	0
COR	voiceless	CVCCVC	poly	big	CVCVC	ʤennet	ʤennetim	0	0	0
COR	voiceless	CVCCVC	poly	big	CVCVC	ʤinnet	ʤinnetim	0	0	0
COR	voiceless	CVCCVC	poly	big	CVCVC	dehʃet	dehʃetim	0	0	0
COR	voiceless	CVCCVC	poly	big	CVCVC	devlet	devletim	0	0	0
COR	voiceless	CVCCVC	poly	big	CVCVC	fetret	fetretim	0	0	0
COR	voiceless	CVCCVC	poly	big	CVCVC	forvet	forvetim	0	0	0
COR	voiceless	CVCCVC	poly	big	CVCVC	gaflet	gafletim	0	0	0
COR	voiceless	CVCCVC	poly	big	CVCVC	gofret	gofretim	0	0	0
COR	voiceless	CVCCVC	poly	big	CVCVC	gurbet	gurbetim	0	0	0
COR	voiceless	CVCCVC	poly	big	CVCVC	halvet	halvetim	0	0	0
COR	voiceless	CVCCVC	poly	big	CVCVC	haʃmet	haʃmetim	0	0	0
COR	voiceless	CVCCVC	poly	big	CVCVC	haslet	hasletim	0	0	0
COR	voiceless	CVCCVC	poly	big	CVCVC	hasret	hasretim	0	0	0
COR	voiceless	CVCCVC	poly	big	CVCVC	hajret	hajretim	0	0	0
COR	voiceless	CVCCVC	poly	big	CVCVC	hazret	hazretim	0	0	0
COR	voiceless	CVCCVC	poly	big	CVCVC	hejbet	hejbetim	0	0	0
COR	voiceless	CVCCVC	poly	big	CVCVC	hiʤret	hiʤretim	0	0	0
COR	voiceless	CVCCVC	poly	big	CVCVC	hiddet	hiddetim	0	0	0
COR	voiceless	CVCCVC	poly	big	CVCVC	hikmet	hikmetim	0	0	0
COR	voiceless	CVCCVC	poly	big	CVCVC	himmet	himmetim	0	0	0
COR	voiceless	CVCCVC	poly	big	CVCVC	hizmet	hizmetim	0	0	0
COR	voiceless	CVCCVC	poly	big	CVCVC	hyrmet	hyrmetim	0	0	0
COR	voiceless	CVCCVC	poly	big	CVCVC	kasket	kasketim	0	0	0
COR	voiceless	CVCCVC	poly	big	CVCVC	kasvet	kasvetim	0	0	0
COR	voiceless	CVCCVC	poly	big	CVCVC	kesret	kesretim	0	0	0
COR	voiceless	CVCCVC	poly	big	CVCVC	kɯsmet	kɯsmetim	0	0	0
COR	voiceless	CVCCVC	poly	big	CVCVC	kɯjmet	kɯjmetim	0	0	0
COR	voiceless	CVCCVC	poly	big	CVCVC	kispet	kispetim	0	0	0
COR	voiceless	CVCCVC	poly	big	CVCVC	kornet	kornetim	0	0	0
COR	voiceless	CVCCVC	poly	big	CVCVC	korvet	korvetim	0	0	0
COR	voiceless	CVCCVC	poly	big	CVCVC	kotlet	kotletim	0	0	0
COR	voiceless	CVCCVC	poly	big	CVCVC	kylfet	kylfetim	0	0	0
COR	voiceless	CVCCVC	poly	big	CVCVC	kymbet	kymbetim	0	0	0
COR	voiceless	CVCCVC	poly	big	CVCVC	kudret	kudretim	0	0	0
COR	voiceless	CVCCVC	poly	big	CVCVC	kuvvet	kuvvetim	0	0	0
COR	voiceless	CVCCVC	poly	big	CVCVC	lezzet	lezzetim	0	0	0
COR	voiceless	CVCCVC	poly	big	CVCVC	mihnet	mihnetim	0	0	0
COR	voiceless	CVCCVC	poly	big	CVCVC	millet	milletim	0	0	0
COR	voiceless	CVCCVC	poly	big	CVCVC	minnet	minnetim	0	0	0
COR	voiceless	CVCCVC	poly	big	CVCVC	misket	misketim	0	0	0
COR	voiceless	CVCCVC	poly	big	CVCVC	myddet	myddetim	0	0	0
COR	voiceless	CVCCVC	poly	big	CVCVC	myhlet	myhletim	0	0	0
COR	voiceless	CVCCVC	poly	big	CVCVC	myspet	myspetim	0	0	0
COR	voiceless	CVCCVC	poly	big	CVCVC	namzet	namzetim	0	0	0
COR	voiceless	CVCCVC	poly	big	CVCVC	nedret	nedretim	0	0	0
COR	voiceless	CVCCVC	poly	big	CVCVC	nefret	nefretim	0	0	0
COR	voiceless	CVCCVC	poly	big	CVCVC	nɯsfet	nɯsfetim	0	0	0
COR	voiceless	CVCCVC	poly	big	CVCVC	nisbet	nisbetim	0	0	0
COR	voiceless	CVCCVC	poly	big	CVCVC	nispet	nispetim	0	0	0
COR	voiceless	CVCCVC	poly	big	CVCVC	rahmet	rahmetim	0	0	0
