speaker,word,C1,V,C2,F2C1,F2V,F2C2,dur b-m,duration,rate,,,
CC,bed,b,e,d,2048.469388,2202.806122,2095.238095,0.082024,0.172288,normal,,,
CC,bed,b,e,d,1922.193878,2146.683673,2026.315789,0.10513,0.224633,normal,,,
CC,bed,b,e,d,1950.255102,2202.806122,2150.37594,0.100509,0.219308,normal,,,
CC,bed,b,e,d,1908.163265,2132.653061,2040.100251,0.106285,0.239653,normal,,,
CC,beg,b,e,g,1894.132653,2286.989796,2439.849624,0.094732,0.206793,normal,,,
CC,beg,b,e,g,2034.438776,2385.204082,2595.663265,0.086066,0.187975,normal,,,
CC,beg,b,e,g,2034.438776,2286.989796,2370.927318,0.106282,0.217911,normal,,,
CC,beg,b,e,g,1866.071429,2188.77551,2453.634085,0.086645,0.179577,normal,,,
CC,beg,b,e,g,1922.193878,2371.173469,2539.540816,0.087801,0.189271,normal,,,
CC,beg,b,e,g,1880.102041,2329.081633,2623.72449,0.084335,0.170335,normal,,,
CC,bib,b,i,b,2707.908163,2960.459184,2053.884712,0.110906,0.222967,normal,,,
CC,bib,b,i,b,2820.153061,2974.489796,2637.755102,0.09935,0.220455,normal,,,
CC,bib,b,i,b,2679.846939,2890.306122,1894.132653,0.099353,0.195241,normal,,,
CC,bib,b,i,b,2890.306122,2974.489796,2932.397959,0.099353,0.187663,normal,,,
CC,bib,b,i,b,2665.816327,2904.336735,2413.265306,0.097043,0.198513,normal,,,
CC,bib,b,i,b,2735.969388,2988.520408,2244.897959,0.091266,0.192286,normal,,,
CC,bid,b,i,d,2413.265306,3058.673469,2550.125313,0.130546,0.25878,normal,,,
CC,bid,b,i,d,2862.244898,3044.642857,2553.571429,0.115527,0.22999,normal,,,
CC,bid,b,i,d,2637.755102,2988.520408,2637.755102,0.108596,0.23221,normal,,,
CC,bid,b,i,d,2834.183673,3002.55102,2632.83208,0.118993,0.23041,normal,,,
CC,bid,b,i,d,2735.969388,2932.397959,2687.969925,0.106284,0.235482,normal,,,
CC,bid,b,i,d,2778.061224,2904.336735,2553.571429,0.10975,0.217702,normal,,,
CC,big,b,i,g,2343.112245,2932.397959,2977.443609,0.106285,0.218346,normal,,,
CC,big,b,i,g,2876.27551,2974.489796,2949.874687,0.10917,0.211656,normal,,,
CC,big,b,i,g,2876.27551,2974.489796,2880.952381,0.106285,0.213725,normal,,,
CC,big,b,i,g,3101.503759,2960.459184,2894.736842,0.109751,0.222321,normal,,,
CC,big,b,i,g,2581.632653,2904.336735,2880.952381,0.115527,0.212378,normal,,,
CC,big,b,i,g,2286.989796,2918.367347,2825.814536,0.121303,0.258136,normal,,,
CC,bub,b,u,b,1350.877193,1290.816327,1157.894737,0.106285,0.209104,normal,,,
CC,bub,b,u,b,1346.938776,1262.755102,1102.756892,0.100505,0.200238,normal,,,
CC,bub,b,u,b,1220.663265,1346.938776,1150.510204,0.090108,0.18383,normal,,,
CC,bub,b,u,b,1276.785714,1431.122449,1061.403509,0.105129,0.248893,normal,,,
CC,bub,b,u,b,1276.785714,1304.846939,1033.834586,0.103974,0.219309,normal,,,
CC,bub,b,u,b,1254.385965,1262.755102,1116.541353,0.092422,0.193441,normal,,,
CC,bud,b,u,d,1392.230576,1346.938776,1833.333333,0.114371,0.233364,normal,,,
CC,bud,b,u,d,1346.938776,1220.663265,1612.781955,0.105129,0.219462,normal,,,
CC,bud,b,u,d,1234.693878,1122.44898,1764.411028,0.195236,0.260654,normal,,,
CC,bud,b,u,d,1529.336735,1290.816327,1860.902256,0.157117,0.23272,normal,,,
CC,bud,b,u,d,1262.755102,1094.387755,1543.859649,0.158271,0.222772,normal,,,
CC,bud,b,u,d,1268.170426,1136.479592,1695.488722,0.155961,0.207307,normal,,,
CC,bug,b,u,g,1433.58396,1375,1213.032581,0.092421,0.190619,normal,,,
CC,bug,b,u,g,1364.661654,1262.755102,1178.571429,0.083179,0.180312,normal,,,
CC,bug,b,u,g,1276.785714,1276.785714,1144.110276,0.105704,0.213864,normal,,,
CC,bug,b,u,g,1276.785714,1262.755102,1185.463659,0.118993,0.231054,normal,,,
CC,bug,b,u,g,1276.785714,1304.846939,1185.463659,0.113217,0.222774,normal,,,
CC,bug,b,u,g,1346.938776,1360.969388,1192.602041,0.094732,0.194596,normal,,,
CC,dab,d,a,b,1767.857143,1318.877551,1433.58396,0.130545,0.255314,normal,,,
CC,dab,d,a,b,1781.887755,1346.938776,1502.506266,0.10744,0.235767,normal,,,
CC,dab,d,a,b,1781.887755,1332.908163,1445.153061,0.127076,0.246788,normal,,,
CC,dab,d,a,b,1764.411028,1290.816327,1378.446115,0.12708,0.280085,normal,,,
CC,dab,d,a,b,1627.55102,1290.816327,1364.661654,0.105129,0.222773,normal,,,
CC,dab,d,a,b,1681.704261,1417.091837,1419.799499,0.120148,0.235033,normal,,,
CC,dad,d,a,d,1791.97995,1318.877551,1860.902256,0.123614,0.265712,normal,,,
