C1	C2	O	C1prob	C2prob	E
RR	SS	5	0.02225130890052356	0.018698578908002993	2.225130890052356
HH	SS	9	0.04094988780852655	0.018698578908002993	4.094988780852655
GG	SS	8	0.043006731488406884	0.018698578908002993	4.300673148840689
h	SS	2	0.036275243081525806	0.018698578908002993	3.6275243081525805
ʔ	SS	2	0.02243829468960359	0.018698578908002993	2.2438294689603593
l	SS	5	0.05048616305160808	0.018698578908002993	5.048616305160809
r	SS	10	0.07479431563201197	0.018698578908002993	7.479431563201198
n	SS	9	0.0605833956619297	0.018698578908002993	6.05833956619297
w	SS	10	0.0712415856394914	0.018698578908002993	7.12415856394914
y	SS	1	0.028982797307404638	0.018698578908002993	2.898279730740464
b	ZZ	0	0.05179506357516829	0.005422587883320867	1.5020568436798805
f	ZZ	3	0.04431563201196709	0.005422587883320867	1.2851533283470455
m	ZZ	1	0.0512341062079282	0.005422587883320867	1.4857890800299178
t	ZZ	0	0.01907255048616305	0.005422587883320867	0.5531039640987285
d	ZZ	0	0.03702318623784592	0.005422587883320867	1.0736724008975318
TT	ZZ	0	0.02617801047120419	0.005422587883320867	0.7591623036649214
DD	ZZ	0	0.015893792071802543	0.005422587883320867	0.46091997008227376
th	ZZ	0	0.010284218399401645	0.005422587883320867	0.2982423335826477
dh	ZZ	0	0.013462976813762155	0.005422587883320867	0.39042632759910245
s	ZZ	0	0.043006731488406884	0.005422587883320867	1.2471952131637996
z	ZZ	0	0.028234854151084517	0.005422587883320867	0.818810770381451
SS	ZZ	0	0.02580403889304413	0.005422587883320867	0.7483171278982798
ZZ	ZZ	0	0.004113687359760658	0.005422587883320867	0.1192969334330591
sh	ZZ	2	0.037397157816005985	0.005422587883320867	1.0845175766641735
k	ZZ	1	0.032535527299925204	0.005422587883320867	0.9435302916978309
g	ZZ	0	0.036088257292445775	0.005422587883320867	1.0465594614809275
q	ZZ	2	0.04281974569932685	0.005422587883320867	1.2417726252804786
XX	ZZ	0	0.02973074046372476	0.005422587883320867	0.8621914734480179
RR	ZZ	0	0.02225130890052356	0.005422587883320867	0.6452879581151831
HH	ZZ	5	0.04094988780852655	0.005422587883320867	1.1875467464472698
GG	ZZ	4	0.043006731488406884	0.005422587883320867	1.2471952131637996
h	ZZ	1	0.036275243081525806	0.005422587883320867	1.0519820493642482
ʔ	ZZ	0	0.02243829468960359	0.005422587883320867	0.6507105459985041
l	ZZ	2	0.05048616305160808	0.005422587883320867	1.464098728496634
r	ZZ	1	0.07479431563201197	0.005422587883320867	2.169035153328347
n	ZZ	3	0.0605833956619297	0.005422587883320867	1.7569184741959611
w	ZZ	2	0.0712415856394914	0.005422587883320867	2.0660059835452502
y	ZZ	2	0.028982797307404638	0.005422587883320867	0.8405011219147344
b	sh	8	0.05179506357516829	0.02636499626028422	7.30310396409873
f	sh	8	0.04431563201196709	0.02636499626028422	6.24850411368736
m	sh	13	0.0512341062079282	0.02636499626028422	7.224008975317876
t	sh	2	0.01907255048616305	0.02636499626028422	2.6892296185489903
d	sh	4	0.03702318623784592	0.02636499626028422	5.220269259536275
TT	sh	5	0.02617801047120419	0.02636499626028422	3.6910994764397906
DD	sh	0	0.015893792071802543	0.02636499626028422	2.241024682124159
th	sh	0	0.010284218399401645	0.02636499626028422	1.450074794315632
dh	sh	0	0.013462976813762155	0.02636499626028422	1.8982797307404637
s	sh	0	0.043006731488406884	0.02636499626028422	6.06394913986537
z	sh	0	0.028234854151084517	0.02636499626028422	3.981114435302917
SS	sh	0	0.02580403889304413	0.02636499626028422	3.6383694839192224
ZZ	sh	0	0.004113687359760658	0.02636499626028422	0.5800299177262528
sh	sh	0	0.037397157816005985	0.02636499626028422	5.272999252056843
k	sh	6	0.032535527299925204	0.02636499626028422	4.587509349289454
g	sh	3	0.036088257292445775	0.02636499626028422	5.088444278234855
q	sh	9	0.04281974569932685	0.02636499626028422	6.037584143605086
XX	sh	5	0.02973074046372476	0.02636499626028422	4.192034405385191
RR	sh	5	0.02225130890052356	0.02636499626028422	3.137434554973822
HH	sh	10	0.04094988780852655	0.02636499626028422	5.773934181002244
GG	sh	7	0.043006731488406884	0.02636499626028422	6.06394913986537
h	sh	4	0.036275243081525806	0.02636499626028422	5.114809274495139
ʔ	sh	3	0.02243829468960359	0.02636499626028422	3.1637995512341064
l	sh	2	0.05048616305160808	0.02636499626028422	7.118548990276739
r	sh	16	0.07479431563201197	0.02636499626028422	10.545998504113687
n	sh	14	0.0605833956619297	0.02636499626028422	8.542258788332088
w	sh	12	0.0712415856394914	0.02636499626028422	10.045063575168287
y	sh	5	0.028982797307404638	0.02636499626028422	4.086574420344054
b	k	11	0.05179506357516829	0.02449513836948392	6.785153328347046
f	k	5	0.04431563201196709	0.02449513836948392	5.805347793567688
m	k	6	0.0512341062079282	0.02449513836948392	6.7116679132385935
t	k	4	0.01907255048616305	0.02449513836948392	2.49850411368736
d	k	0	0.03702318623784592	0.02449513836948392	4.8500373971578155
TT	k	0	0.02617801047120419	0.02449513836948392	3.4293193717277486
DD	k	0	0.015893792071802543	0.02449513836948392	2.082086761406133
th	k	1	0.010284218399401645	0.02449513836948392	1.3472326103216155
dh	k	3	0.013462976813762155	0.02449513836948392	1.7636499626028421
s	k	7	0.043006731488406884	0.02449513836948392	5.633881824981302
z	k	4	0.028234854151084517	0.02449513836948392	3.6987658937920718
SS	k	0	0.02580403889304413	0.02449513836948392	3.380329094988781
ZZ	k	0	0.004113687359760658	0.02449513836948392	0.5388930441286462
sh	k	8	0.037397157816005985	0.02449513836948392	4.899027673896784
k	k	0	0.032535527299925204	0.02449513836948392	4.2621540762902015
g	k	1	0.036088257292445775	0.02449513836948392	4.727561705310396
q	k	0	0.04281974569932685	0.02449513836948392	5.609386686611818
XX	k	0	0.02973074046372476	0.02449513836948392	3.894727000747943
RR	k	0	0.02225130890052356	0.02449513836948392	2.914921465968586
HH	k	5	0.04094988780852655	0.02449513836948392	5.364435302916978
GG	k	6	0.043006731488406884	0.02449513836948392	5.633881824981302
h	k	4	0.036275243081525806	0.02449513836948392	4.75205684367988
ʔ	k	4	0.02243829468960359	0.02449513836948392	2.9394166043380703
l	k	11	0.05048616305160808	0.02449513836948392	6.613687359760658
r	k	16	0.07479431563201197	0.02449513836948392	9.798055347793568
n	k	17	0.0605833956619297	0.02449513836948392	7.93642483171279
w	k	16	0.0712415856394914	0.02449513836948392	9.332647718773373
y	k	2	0.028982797307404638	0.02449513836948392	3.7967464472700074
b	g	8	0.05179506357516829	0.028795811518324606	7.976439790575917
f	g	5	0.04431563201196709	0.028795811518324606	6.824607329842932
m	g	9	0.0512341062079282	0.028795811518324606	7.890052356020942
t	g	3	0.01907255048616305	0.028795811518324606	2.93717277486911
d	g	6	0.03702318623784592	0.028795811518324606	5.701570680628272
TT	g	0	0.02617801047120419	0.028795811518324606	4.031413612565445
DD	g	3	0.015893792071802543	0.028795811518324606	2.4476439790575917
th	g	0	0.010284218399401645	0.028795811518324606	1.5837696335078533
dh	g	0	0.013462976813762155	0.028795811518324606	2.073298429319372
s	g	9	0.043006731488406884	0.028795811518324606	6.623036649214661
z	g	6	0.028234854151084517	0.028795811518324606	4.348167539267015
SS	g	0	0.02580403889304413	0.028795811518324606	3.973821989528796
ZZ	g	0	0.004113687359760658	0.028795811518324606	0.6335078534031413
sh	g	7	0.037397157816005985	0.028795811518324606	5.7591623036649215
k	g	0	0.032535527299925204	0.028795811518324606	5.010471204188481
g	g	0	0.036088257292445775	0.028795811518324606	5.557591623036649
q	g	0	0.04281974569932685	0.028795811518324606	6.594240837696335
XX	g	1	0.02973074046372476	0.028795811518324606	4.5785340314136125
RR	g	1	0.02225130890052356	0.028795811518324606	3.426701570680628
HH	g	8	0.04094988780852655	0.028795811518324606	6.306282722513088
GG	g	10	0.043006731488406884	0.028795811518324606	6.623036649214661
h	g	12	0.036275243081525806	0.028795811518324606	5.586387434554974
ʔ	g	2	0.02243829468960359	0.028795811518324606	3.4554973821989527
l	g	13	0.05048616305160808	0.028795811518324606	7.774869109947644
r	g	21	0.07479431563201197	0.028795811518324606	11.518324607329843
n	g	13	0.0605833956619297	0.028795811518324606	9.329842931937174
w	g	15	0.0712415856394914	0.028795811518324606	10.971204188481675
y	g	2	0.028982797307404638	0.028795811518324606	4.463350785340314
b	q	13	0.05179506357516829	0.04169783096484667	11.550299177262529
f	q	20	0.04431563201196709	0.04169783096484667	9.88238593866866
m	q	10	0.0512341062079282	0.04169783096484667	11.425205684367988
t	q	5	0.01907255048616305	0.04169783096484667	4.253178758414361
d	q	5	0.03702318623784592	0.04169783096484667	8.25617053103964
TT	q	4	0.02617801047120419	0.04169783096484667	5.837696335078534
DD	q	0	0.015893792071802543	0.04169783096484667	3.5443156320119673
th	q	5	0.010284218399401645	0.04169783096484667	2.2933807030665667
dh	q	2	0.013462976813762155	0.04169783096484667	3.0022438294689606
s	q	9	0.043006731488406884	0.04169783096484667	9.590501121914736
z	q	10	0.028234854151084517	0.04169783096484667	6.2963724756918475
SS	q	5	0.02580403889304413	0.04169783096484667	5.754300673148841
ZZ	q	0	0.004113687359760658	0.04169783096484667	0.9173522812266268
sh	q	9	0.037397157816005985	0.04169783096484667	8.339566192969334
k	q	0	0.032535527299925204	0.04169783096484667	7.255422587883321
g	q	0	0.036088257292445775	0.04169783096484667	8.047681376215408
q	q	0	0.04281974569932685	0.04169783096484667	9.54880329094989
XX	q	0	0.02973074046372476	0.04169783096484667	6.629955123410621
RR	q	1	0.02225130890052356	0.04169783096484667	4.962041884816754
HH	q	6	0.04094988780852655	0.04169783096484667	9.13182498130142
GG	q	12	0.043006731488406884	0.04169783096484667	9.590501121914736
h	q	5	0.036275243081525806	0.04169783096484667	8.089379207180254
ʔ	q	1	0.02243829468960359	0.04169783096484667	5.003739715781601
l	q	19	0.05048616305160808	0.04169783096484667	11.258414360508603
r	q	25	0.07479431563201197	0.04169783096484667	16.67913238593867
n	q	24	0.0605833956619297	0.04169783096484667	13.510097232610322
w	q	26	0.0712415856394914	0.04169783096484667	15.886873597606582
y	q	7	0.028982797307404638	0.04169783096484667	6.463163799551234
b	XX	7	0.05179506357516829	0.016267763649962602	4.506170531039641
f	XX	5	0.04431563201196709	0.016267763649962602	3.855459985041137
m	XX	6	0.0512341062079282	0.016267763649962602	4.457367240089753
t	XX	1	0.01907255048616305	0.016267763649962602	1.6593118922961854
d	XX	4	0.03702318623784592	0.016267763649962602	3.2210172026925954
TT	XX	1	0.02617801047120419	0.016267763649962602	2.2774869109947646
DD	XX	2	0.015893792071802543	0.016267763649962602	1.3827599102468213
th	XX	1	0.010284218399401645	0.016267763649962602	0.894727000747943
dh	XX	2	0.013462976813762155	0.016267763649962602	1.1712789827973074
s	XX	12	0.043006731488406884	0.016267763649962602	3.7415856394913987
z	XX	2	0.028234854151084517	0.016267763649962602	2.456432311144353
SS	XX	1	0.02580403889304413	0.016267763649962602	2.244951383694839
ZZ	XX	0	0.004113687359760658	0.016267763649962602	0.35789080029917725
sh	XX	5	0.037397157816005985	0.016267763649962602	3.2535527299925207
k	XX	0	0.032535527299925204	0.016267763649962602	2.8305908750934927
g	XX	0	0.036088257292445775	0.016267763649962602	3.139678384442782
q	XX	0	0.04281974569932685	0.016267763649962602	3.725317875841436
XX	XX	0	0.02973074046372476	0.016267763649962602	2.586574420344054
RR	XX	0	0.02225130890052356	0.016267763649962602	1.9358638743455496
HH	XX	0	0.04094988780852655	0.016267763649962602	3.5626402393418095
GG	XX	0	0.043006731488406884	0.016267763649962602	3.7415856394913987
h	XX	0	0.036275243081525806	0.016267763649962602	3.1559461480927453
ʔ	XX	3	0.02243829468960359	0.016267763649962602	1.9521316379955123
l	XX	4	0.05048616305160808	0.016267763649962602	4.3922961854899025
r	XX	9	0.07479431563201197	0.016267763649962602	6.507105459985041
n	XX	10	0.0605833956619297	0.016267763649962602	5.270755422587883
w	XX	10	0.0712415856394914	0.016267763649962602	6.198017950635752
